nom_boulangerie,adresse,code_postal,ville,Latitude,Longitude
BOULANGERIE OGI XOKO,26 avenue de la chambre d'Amour,64600,ANGLET,43.4917846595,-1.51623373371
LA CORBEILLE A PAIN,33 rue des Fleuristes,64600,ANGLET,43.4917846595,-1.51623373371
LE FOURNIL DE MONTBRUN,62 avenue de Montbrun,64600,ANGLET,43.4917846595,-1.51623373371
LES DELICES DETYMEO,81 avenue de l'Adour,64600,ANGLET,43.4917846595,-1.51623373371
PATISSERIE POMMIERS,102 avenue de Biarritz,64600,ANGLET,43.4917846595,-1.51623373371
BOULANGERIE FAUCHEZ 1,Bourg,64210,ARBONNE,43.4380521764,-1.58002714725
BOULANGERIE SUSPERREGUI,Maison Mendizabalbaita,64310,ASCAIN,43.3564883514,-1.55534617636
MAISON INDA,11 Zone Artisanale Lanzelai,64310,ASCAIN,43.3564883514,-1.55534617636
L'AMI DES PAINS,Le Bourg,64240,AYHERRE,43.4830789659,-1.28285405213
BOULANGERIE LESTRADE,28 rue Pontrique,64100,BAYONNE,43.4922254016,-1.46607674358
BOULANGERIE OGI ONA,15 Bd Alsace Lorraine,64100,BAYONNE,43.4922254016,-1.46607674358
LA PETITE BAYONNAISE,54 boulevard Alsace Lorraine,64100,BAYONNE,43.4922254016,-1.46607674358
LE FOURNIL DU GRAND BASQUE,2 Chemin Hayet,64100,BAYONNE,43.4922254016,-1.46607674358
LES DELICES DE L'ADOUR,30 avenue du Capitaine Resplandy,64100,BAYONNE,43.4922254016,-1.46607674358
SAINT HONORE,8 avenue du 8 mai 1945,64100,BAYONNE,43.4922254016,-1.46607674358
BOULANGERIE FAUCHEZ 2,13 avenue du Maréchal Juin,64200,BIARRITZ,43.4445312416,-1.49649880002
LEFOURNIL DE LABALEINE,68 avenue du Président J.F.Kennedy,64200,BIARRITZ,43.4445312416,-1.49649880002
FOURNIL DE LA LICORNE,RD 810,64210,BIDART,43.4380521764,-1.58002714725
LE MOULIN DE BASSILOUR,Quartier Bassilour,64210,BIDART,43.4380521764,-1.58002714725
LA MAISON DU PAIN,6 rue Barthassot,64340,BOUCAU,43.52540846,-1.48001541381
BOULANGERIE DES ECOLES,12 rue des Marronniers,64250,CAMBO LES BAINS,43.3100742796,-1.40531371043
BOULANGERIE DORREA,2 Place de l'Eglise,64250,CAMBO LES BAINS,43.3100742796,-1.40531371043
AUX FRERES GOURMETS,17 rue François Turnaco,64500,CIBOURE,43.3749892489,-1.66133753626
BOULANGERIE DE L'OCEAN,3 rue Pocalette,64500,CIBOURE,43.3749892489,-1.66133753626
BOULANGERIE BERTERREIX,10 Place Merkatu Plaza,64250,ESPELETTE,43.3100742796,-1.40531371043
BOULANGERIE BARNETCHE,Maison Bidartia-Quartier Celhay,64240,HASPARREN,43.4830789659,-1.28285405213
BOULANGERIE BIDART,6 place Saint Jean,64240,HASPARREN,43.4830789659,-1.28285405213
BOULANGERIE CARRERE,Quartier Plaza,64640,HELETTE,43.306287983,-1.24580704734
BOULANGERIE-PATISSERIE GORRI,117 Bd de la Mer,64700,HENDAYE,43.3497136026,-1.69722838309
PATISSERIE DE L'EUROPE,Bd du Général Leclerc,64700,HENDAYE,43.3497136026,-1.69722838309
BOULANGERIE MINHONDO,Bourg,64780,IRISSARRY,43.2723557234,-1.35385755497
BOULANGERIE CELLAN,Ordokia,64250,ITXASSOU,43.3100742796,-1.40531371043
BOULANGERIE KRAKADA,Place du fronton,64250,ITXASSOU,43.3100742796,-1.40531371043
BOULANGERIE HERRIKO LABEA,Route de l'Eglise-Bourg,64480,JATXOU,43.3851722831,-1.41123002191
BOULANGERIE BAPTISTE,Rue Notre Dame,64240,LA BASTIDE-CLAIRENCE,43.4830789659,-1.28285405213
BOULANGERIE CHEZ FARINETTE,Route Principale,64270,LA BASTIDE-CLAIRENCE,43.4655237651,-1.00925153647
LE FOURNIL DES TRADITIONS,71 rue Alsace Lorraine,65300,LANNEMEZAN,43.1538418103,-0.41213626371
BOULANGERIE AXOLA GABE,Quartier Inthalatzia,64480,LARRESSORE,43.3851722831,-1.41123002191
AU FESTIVAL DES PAINS,26 avenue de Belzunce,64130,MAULEON,43.2188188695,-0.924182153678
CHEZ AUDREY ET JORDAN,32 avenue de la Croix de Mouguerre,64990,MOUGUERRE,43.4851399002,-1.35045650645
BOULANGERIE ENKA,125 avenue André Ithurralde,64500,SAINT JEAN DE LUZ,43.3749892489,-1.66133753626
BOULANGERIE LABECHILOA,8 rue Loquin,64500,SAINT JEAN DE LUZ,43.3749892489,-1.66133753626
BOULANGERIE OGI LABEA,11 bis avenue de Verdun,64500,SAINT JEAN DE LUZ,43.3749892489,-1.66133753626
BOULANGERIE LABEAK,2 rue de la Poste,64220,SAINTJEAN PIED DE PORT,43.1439687884,-1.16379898273
BOULANGERIE LABEAK,Place de Juan de Huarte,64220,SAINTJEAN PIED DE PORT,43.1439687884,-1.16379898273
BOULANGERIE OGI BESTA,45 rue du Jeu de Paume,64120,SAINT PALAIS,43.3536564293,-1.01649248098
BOULANGERIE DARRIGUES,Place du Chateau,64310,SAINT PEE SUR NIVELLE,43.3564883514,-1.55534617636
LES PAINS DE SAINT PIERRE,5 avenue Labourd,64990,SAINT PIERRE D'IRUBE,43.4851399002,-1.35045650645
BOULANGERIE GOYHENEIX,Route nationale 618,64470,SAUGUIS SAINT ETIENNE,43.0994626037,-0.810517017656
BOULANGERIE DU FRONTON,6 rue des Ecoles,64250,SOURAï¿½DE,43.3100742796,-1.40531371043
BOULANGERIE LABROSSE,13 rue Emile Nougaro,40140,SOUSTONS,43.7498040758,-1.3280117155
BOULANGERIE DAGASSAN,Place centrale,64470,TARDETS,43.0994626037,-0.810517017656
BOULANGERIE SARCABAL,Route de Bayonne,64220,UHART-CIZE,43.1439687884,-1.16379898273
BOULANGERIE URKETAKO OGIA,169 rue du Bourg,64990,URCUIT,43.4851399002,-1.35045650645
AUX DELICES D'AMATXI,Route d'Ibardin,64122,URRUGNE,43.3497136026,-1.69722838309
AUX DELICES D'AMATXI,2 rue Puttillenea,64122,URRUGNE,43.3497136026,-1.69722838309
LE FOURNIL ABOIS SOULETIN,Lotissement Erreka Alde,64130,VIODOS ABENSE DE BAS,43.2188188695,-0.924182153678
